area_type,location,size,total_sqft,bath,balcony,price,bed_bath,price_per_sqft
Super built-up  Area,Hebbal,4,2483.0,5,2,230.0,728.0,9262.988
Plot  Area,Prasanth Extension,2,1200.0,3,1,46.14,384.0,3845.0
Super built-up  Area,Kanakpura Road,3,1452.0,3,3,60.98,516.0,4199.725
Super built-up  Area,Electronic City Phase II,3,1329.0,2,2,41.0,476.0,3085.026
Super built-up  Area,Doctors Layout,2,1125.0,2,1,44.0,344.0,3911.111
Plot  Area,Anand nagar,2,1200.0,2,0,70.0,344.0,5833.333
Built-up  Area,Sarjapur  Road,3,1350.0,3,3,39.97,516.0,2960.741
Super built-up  Area,Uttarahalli,3,1312.5,3,0,51.19,516.0,3900.19
Super built-up  Area,Hebbal,3,2600.0,3,2,195.0,516.0,7500.0
Built-up  Area,Electronic City Phase II,3,1220.0,3,1,35.23,516.0,2887.705
Super built-up  Area,Pai Layout,2,1255.0,2,1,80.0,344.0,6374.502
Super built-up  Area,Keshava Nagar,3,1904.0,3,3,155.0,516.0,8140.756
Super built-up  Area,Somasundara Palya,2,1329.0,2,2,70.0,344.0,5267.118
Plot  Area,Chandapura,2,1200.0,2,1,60.0,344.0,5000.0
Super built-up  Area,Murugeshpalya,3,2135.0,3,2,160.0,516.0,7494.145
Built-up  Area,"Hoodi Circle, ",1,813.0,1,1,39.0,172.0,4797.048
Plot  Area,Junnasandra,4,3884.0,4,3,240.0,688.0,6179.197
Plot  Area,Doddaballapur,3,3876.0,3,1,300.0,516.0,7739.938
Super built-up  Area,Kalena Agrahara,2,800.0,2,2,30.0,344.0,3750.0
Plot  Area,Handenahalli,4,4750.0,2,1,120.0,608.0,2526.316
Super built-up  Area,Hormavu,3,1500.0,3,3,70.0,516.0,4666.667
Super built-up  Area,Bannerghatta Road,3,1880.0,3,2,95.0,516.0,5053.191
Super built-up  Area,Electronic City,3,1440.0,2,2,55.0,476.0,3819.444
Super built-up  Area,Banagiri Nagar,3,1630.0,2,2,97.78,476.0,5998.773
Super built-up  Area,Yelahanka,3,1180.0,3,1,55.0,516.0,4661.017
Built-up  Area,Nagadevanahalli,2,1090.0,2,1,36.0,344.0,3302.752
Super built-up  Area,NGR Layout,2,1020.0,2,2,48.45,344.0,4750.0
Built-up  Area,"Sarjapur Road, ",4,2425.0,4,3,173.0,688.0,7134.021
Super built-up  Area,Varthur,2,1097.0,2,1,33.82,344.0,3082.954
Super built-up  Area,Raja Rajeshwari Nagar,2,1070.0,2,1,50.0,344.0,4672.897
Super built-up  Area,Kumaraswami Layout,2,1000.0,2,1,58.0,344.0,5800.0
Super built-up  Area,manyata tech park,2,1150.0,2,1,56.0,344.0,4869.565
Built-up  Area,Frazer Town,3,1900.0,4,2,145.0,556.0,7631.579
Super built-up  Area,Divya Unnathi Layout,2,1141.0,2,2,49.0,344.0,4294.479
Built-up  Area,Jigani,2,937.0,2,1,44.0,344.0,4695.838
Built-up  Area,Green Glen Layout,2,1075.0,2,1,60.0,344.0,5581.395
Super built-up  Area,Panathur,2,1000.0,2,1,65.3,344.0,6530.0
Plot  Area,Yelachenahalli,5,897.0,2,1,85.0,740.0,9476.031
Super built-up  Area,Ashwathnagar,2,936.0,2,2,43.0,344.0,4594.017
Built-up  Area,Gopalkrishna Nagar,2,1280.0,2,1,75.0,344.0,5859.375
Super built-up  Area,Babusapalaya,2,1050.0,2,3,45.0,344.0,4285.714
Super built-up  Area,Marathahalli,2,1350.0,2,1,86.0,344.0,6370.37
Super built-up  Area,Mallasandra,2,1325.0,2,1,70.0,344.0,5283.019
Super built-up  Area,Devanahalli,2,1174.0,2,1,59.0,344.0,5025.554
Super built-up  Area,Hosur Road,3,1890.0,3,2,162.0,516.0,8571.429
Super built-up  Area,Wilson Garden,1,735.0,1,1,75.0,172.0,10204.082
Built-up  Area,Sarvabhouma Nagar,1,500.0,1,0,24.0,172.0,4800.0
Super built-up  Area,Gottigere,3,1304.0,3,3,80.0,516.0,6134.969
Built-up  Area,Yelahanka,3,1653.0,3,2,120.0,516.0,7259.528
Super built-up  Area,Bisuvanahalli,3,1075.0,2,1,52.0,476.0,4837.209
Super built-up  Area,7th Phase JP Nagar,2,1212.0,3,1,42.0,384.0,3465.347
Built-up  Area,Hoysalanagar,2,1100.0,2,1,50.0,344.0,4545.455
Super built-up  Area,Billekahalli,2,1140.0,2,2,50.0,344.0,4385.965
Plot  Area,Roopena Agrahara,2,1200.0,2,1,100.0,344.0,8333.333
Super built-up  Area,Kudlu Gate,3,1532.0,3,2,83.0,516.0,5417.755
Plot  Area,Doddaballapur,3,2776.0,4,2,195.0,556.0,7024.496
Super built-up  Area,Padmanabhanagar,3,1531.0,2,0,75.0,476.0,4898.759
Super built-up  Area,Poorna Pragna Layout,3,1270.0,2,2,50.79,476.0,3999.213
Super built-up  Area,Uttarahalli,2,1325.0,2,1,53.0,344.0,4000.0
Super built-up  Area,Electronic City,3,1156.0,2,2,44.0,476.0,3806.228
Super built-up  Area,Bannerghatta Road,2,1260.0,2,2,70.0,344.0,5555.556
Super built-up  Area,Vittasandra,2,1934.0,2,0,90.0,344.0,4653.568
Super built-up  Area,Malleshpalya,2,1060.0,2,1,40.0,344.0,3773.585
Super built-up  Area,Kasavanhalli,3,1476.0,3,1,95.0,516.0,6436.314
Super built-up  Area,Murugeshpalya,2,1185.0,2,1,85.0,344.0,7172.996
Super built-up  Area,Channasandra Layout,3,1265.0,2,1,82.0,476.0,6482.213
Built-up  Area,"Near Electronic City, ",4,3200.0,5,1,150.0,728.0,4687.5
Super built-up  Area,Virat Nagar,2,1196.0,2,2,56.81,344.0,4750.0
Built-up  Area,EPIP Zone,2,1280.0,2,1,69.0,344.0,5390.625
Built-up  Area,Kacharakanahalli,3,1850.0,3,3,98.0,516.0,5297.297
Super built-up  Area,Whitefield,2,1195.0,2,1,70.0,344.0,5857.741
Super built-up  Area,Ulsoor,3,2000.0,3,3,185.0,516.0,9250.0
Super built-up  Area,Hosur Road,2,1180.0,2,2,36.5,344.0,3093.22
Super built-up  Area,Jakkur,2,1050.0,2,1,49.87,344.0,4749.524
Built-up  Area,Electronic City,3,1400.0,2,1,40.44,476.0,2888.571
Plot  Area,Bagalakunte,4,2360.0,4,2,150.0,688.0,6355.932
Super built-up  Area,Banashankari stage 2,2,1030.0,2,1,77.25,344.0,7500.0
Super built-up  Area,Doddanakundi Industrial Area 2,2,1512.0,1,2,65.01,304.0,4299.603
Built-up  Area,Subramanyapura,2,929.0,2,1,48.0,344.0,5166.846
Super built-up  Area,Jigani,3,1252.0,3,3,61.0,516.0,4872.204
Built-up  Area,Green Glen Layout,3,1485.0,3,2,115.0,516.0,7744.108
Super built-up  Area,Electronics City Phase 1,3,1124.0,2,2,55.0,476.0,4893.238
Built-up  Area,Indira Nagar,3,1407.0,3,1,120.0,516.0,8528.785
Super built-up  Area,Hennur Road,3,1482.0,2,3,97.0,476.0,6545.209
Super built-up  Area,Sector 7 HSR Layout,2,1163.0,2,1,98.86,344.0,8500.43
Super built-up  Area,Jalahalli,3,1570.0,3,2,140.0,516.0,8917.197
Super built-up  Area,Chandapura,1,520.0,1,1,14.04,172.0,2700.0
Super built-up  Area,OLd Gurappanapalya,3,2000.0,3,2,160.0,516.0,8000.0
Super built-up  Area,Prithvi Layout,2,1352.0,2,2,75.0,344.0,5547.337
Super built-up  Area,Electronic City,2,1152.0,2,1,65.0,344.0,5642.361
Built-up  Area,"ECC Road, Whitefield, ",3,1575.0,3,2,93.0,516.0,5904.762
Super built-up  Area,Hegde Nagar,3,1965.0,4,2,125.0,556.0,6361.323
Built-up  Area,Ramanjaneyanagar,3,1300.0,2,2,70.0,476.0,5384.615
Super built-up  Area,Marathahalli,2,957.0,2,1,47.0,344.0,4911.181
Super built-up  Area,Hoskote,3,1740.0,3,3,60.0,516.0,3448.276
Super built-up  Area,Neeladri Nagar,2,1060.0,2,0,35.0,344.0,3301.887
Carpet  Area,Chikkadunnasandra,2,975.0,2,2,50.0,344.0,5128.205
Super built-up  Area,Ramamurthy Nagar,2,1150.0,2,2,51.0,344.0,4434.783
Super built-up  Area,Whitefield,3,1738.0,2,3,79.0,476.0,4545.455
Super built-up  Area,Bommanahalli,3,1250.0,3,2,55.0,516.0,4400.0
Built-up  Area,Bannerghatta Road,3,1788.0,3,2,90.0,516.0,5033.557
Super built-up  Area,Kanakapura,2,1151.0,2,1,59.0,344.0,5125.977
Super built-up  Area,Uttarahalli,3,1300.0,2,2,60.0,476.0,4615.385
Super built-up  Area,Garudachar Palya,2,1150.0,2,1,52.8,344.0,4591.304
Super built-up  Area,Akshya Nagar,2,1380.0,2,1,75.0,344.0,5434.783
Super built-up  Area,Hebbal,3,1645.0,3,2,117.0,516.0,7112.462
Super built-up  Area,Babusapalaya,2,1141.0,2,1,45.9,344.0,4022.787
Super built-up  Area,7th Phase JP Nagar,2,1175.0,2,2,82.5,344.0,7021.277
Super built-up  Area,Banashankari Stage V,3,1355.0,2,1,61.0,476.0,4501.845
Built-up  Area,Dasarahalli,2,1150.0,2,0,70.0,344.0,6086.957
Built-up  Area,Canara Bank Colony,2,1000.0,2,2,45.0,344.0,4500.0
Super built-up  Area,Balagere,2,1007.0,2,1,65.0,344.0,6454.816
Super built-up  Area,Wajid layout thanisandra,4,3000.0,5,2,100.0,728.0,3333.333
Super built-up  Area,Kothanur,3,1436.0,3,3,70.0,516.0,4874.652
Super built-up  Area,Marathahalli,4,4000.0,4,3,220.0,688.0,5500.0
Super built-up  Area,Rayasandra,2,1016.0,2,1,58.0,344.0,5708.661
Super built-up  Area,Dodda Nekkundi,2,1100.0,2,2,48.0,344.0,4363.636
Super built-up  Area,B Channasandra,2,1080.0,2,1,45.0,344.0,4166.667
Super built-up  Area,Electronic City,2,1070.0,2,1,60.0,344.0,5607.477
Super built-up  Area,Kadubeesanahalli,3,1532.0,3,1,115.0,516.0,7506.527
Super built-up  Area,Hennur,2,1040.0,2,2,42.12,344.0,4050.0
Plot  Area,Laxmi Sagar Layout,3,3100.0,3,3,250.0,516.0,8064.516
Super built-up  Area,Tumkur Road,2,1137.5,2,0,48.905,344.0,4299.341
Super built-up  Area,Thanisandra,3,1430.0,2,2,51.6,476.0,3608.392
Super built-up  Area,ITPL,4,3262.0,5,2,205.0,728.0,6284.488
Built-up  Area,Uvce Layout,2,1190.0,2,2,100.0,344.0,8403.361
Super built-up  Area,Panduranga Nagar,3,1827.0,3,3,100.0,516.0,5473.454
Super built-up  Area,HRBR Layout,2,1210.0,2,1,75.0,344.0,6198.347
Super built-up  Area,New Thippasandra,3,1500.0,3,3,95.0,516.0,6333.333
Super built-up  Area,Rachenahalli,2,1050.0,2,2,53.5,344.0,5095.238
Super built-up  Area,Hebbal,2,1251.0,2,1,88.73,344.0,7092.726
Super built-up  Area,HSR Layout,3,1600.0,2,2,115.0,476.0,7187.5
Super built-up  Area,Electronic City,2,1128.0,2,1,65.5,344.0,5806.738
Super built-up  Area,Budigere,3,1820.0,3,2,93.0,516.0,5109.89
Super built-up  Area,Thigalarapalya,3,2072.0,4,2,159.0,556.0,7673.745
Super built-up  Area,Raja Rajeshwari Nagar,3,1510.0,2,3,59.0,476.0,3907.285
Super built-up  Area,Hoodi,3,1925.0,2,3,114.0,476.0,5922.078
Plot  Area,Hennur Road,3,2651.0,2,2,225.0,476.0,8487.363
Super built-up  Area,Thigalarapalya,3,2072.0,4,2,147.0,556.0,7094.595
Super built-up  Area,Kumaraswami Layout,2,1000.0,2,2,36.0,344.0,3600.0
Plot  Area,KR Puram,3,1752.0,3,2,145.0,516.0,8276.256
Super built-up  Area,Sahakara Nagar,2,960.0,2,3,56.0,344.0,5833.333
Super built-up  Area,Gattigere,2,1180.0,2,2,63.0,344.0,5338.983
Built-up  Area,Benson Town,3,2270.0,3,1,180.0,516.0,7929.515
Built-up  Area,NRI Layout,2,650.0,2,0,59.0,344.0,9076.923
Super built-up  Area,Lakshminarayana Pura,2,1200.0,2,1,75.0,344.0,6250.0
Super built-up  Area,Bisuvanahalli,3,1180.0,2,1,46.0,476.0,3898.305
Super built-up  Area,Roopena Agrahara,3,1300.0,3,2,47.0,516.0,3615.385
Built-up  Area,Bannerghatta Road,2,1157.0,2,0,40.0,344.0,3457.217
Super built-up  Area,Kanakpura Road,3,1300.0,3,2,69.0,516.0,5307.692
Super built-up  Area,Banashankari Stage III,3,1305.0,2,1,59.0,476.0,4521.073
Super built-up  Area,Hegde Nagar,3,2006.0,4,2,196.0,556.0,9770.688
Super built-up  Area,Jakkur,2,1290.0,2,1,80.0,344.0,6201.55
Super built-up  Area,Hoskote,2,1170.0,2,3,45.0,344.0,3846.154
Super built-up  Area,Yelachenahalli,2,1400.0,2,3,78.0,344.0,5571.429
Super built-up  Area,Lakshminarayana Pura,2,1200.0,2,2,75.0,344.0,6250.0
Built-up  Area,Kamakshipalya,3,1155.0,2,0,60.0,476.0,5194.805
Built-up  Area,Hormavu,3,1725.0,3,2,85.0,516.0,4927.536
Super built-up  Area,Kanakpura Road,2,700.0,2,1,40.0,344.0,5714.286
Super built-up  Area,Hoodi,2,1112.0,2,1,88.0,344.0,7913.669
Super built-up  Area,Badavala Nagar,2,1274.0,2,1,81.0,344.0,6357.928
Super built-up  Area,Doddathoguru,2,915.0,2,1,32.0,344.0,3497.268
Super built-up  Area,Hosur Road,1,760.0,1,2,21.28,172.0,2800.0
Built-up  Area,Maragondanahalli,3,1540.0,3,2,68.0,516.0,4415.584
Super built-up  Area,P&T Layout,2,1206.0,2,3,38.5,344.0,3192.371
Super built-up  Area,Basavanna Nagar,3,1645.0,3,2,95.0,516.0,5775.076
Super built-up  Area,Nehru Nagar,4,2342.0,3,2,115.0,648.0,4910.333
Super built-up  Area,Kannur,3,1200.0,2,1,55.0,476.0,4583.333
Super built-up  Area,Yelenahalli,2,1056.0,2,2,33.0,344.0,3125.0
Super built-up  Area,Kanakpura Road,3,1450.0,3,3,54.3,516.0,3744.828
Super built-up  Area,Thirumenahalli,2,1161.0,2,2,36.69,344.0,3160.207
Super built-up  Area,Dollars Colony,2,1097.0,2,3,65.0,344.0,5925.251
Built-up  Area,Uttarahalli,2,850.0,2,2,35.0,344.0,4117.647
Super built-up  Area,Green Glen Layout,3,1715.0,3,2,115.0,516.0,6705.539
Super built-up  Area,Electronic City,2,1200.0,2,1,59.0,344.0,4916.667
Super built-up  Area,8th Phase JP Nagar,2,1080.0,2,2,38.0,344.0,3518.519
Super built-up  Area,Kasavanhalli,2,1200.0,2,1,50.3,344.0,4191.667
Super built-up  Area,Banashankari,3,1400.0,2,1,78.0,476.0,5571.429
Carpet  Area,Kanakpura Road,1,458.0,1,0,19.695,172.0,4300.218
Super built-up  Area,Marathahalli,2,1230.0,2,1,57.0,344.0,4634.146
Built-up  Area,Kalyan nagar,3,1640.0,3,3,88.0,516.0,5365.854
Super built-up  Area,Banashankari,3,1700.0,3,2,125.0,516.0,7352.941
Super built-up  Area,Banashankari,2,1020.0,2,2,40.79,344.0,3999.02
Built-up  Area,Yelahanka,3,1275.0,2,2,95.0,476.0,7450.98
Super built-up  Area,Kanakapura,2,1110.0,2,2,38.85,344.0,3500.0
Super built-up  Area,Uttarahalli,3,1627.86,3,2,88.0,516.0,5405.87
Built-up  Area,Byagadadhenahalli,2,620.0,2,1,22.0,344.0,3548.387
Plot  Area,Whitefield,4,3004.0,4,2,285.0,688.0,9487.35
Super built-up  Area,Hosa Road,2,1133.0,2,1,52.0,344.0,4589.585
Super built-up  Area,Hennur Road,2,1182.0,2,2,82.5,344.0,6979.695
Super built-up  Area,Tumkur Road,3,1500.0,3,3,100.0,516.0,6666.667
Super built-up  Area,Marathahalli,2,1200.0,2,2,58.0,344.0,4833.333
Super built-up  Area,Raja Rajeshwari Nagar,2,1128.0,2,1,48.79,344.0,4325.355
Built-up  Area,Amruthahalli,2,1100.0,2,1,45.0,344.0,4090.909
Super built-up  Area,Kengeri Satellite Town,2,635.0,1,1,22.0,304.0,3464.567
Built-up  Area,Thanisandra,3,1874.0,4,1,130.0,556.0,6937.033
Super built-up  Area,Old Madras Road,2,1171.0,2,2,75.0,344.0,6404.782
Super built-up  Area,Sarjapur,3,2020.0,3,3,85.0,516.0,4207.921
Super built-up  Area,8th Phase JP Nagar,2,1059.0,2,2,34.5,344.0,3257.79
Super built-up  Area,Panathur,3,1315.0,2,1,59.1,476.0,4494.297
Super built-up  Area,Jakkur,3,1760.0,3,2,110.0,516.0,6250.0
Super built-up  Area,Hennur Road,3,1192.0,2,1,62.0,476.0,5201.342
Super built-up  Area,Hebbal,3,1645.0,3,2,121.0,516.0,7355.623
Super built-up  Area,Whitefield,2,1250.0,2,2,72.0,344.0,5760.0
Super built-up  Area,Whitefield,1,709.0,1,0,34.385,172.0,4849.788
Super built-up  Area,Whitefield,2,1340.0,2,1,77.0,344.0,5746.269
Built-up  Area,Cooke Town,3,2388.0,4,3,239.0,556.0,10008.375
Super built-up  Area,Hosa Road,2,1369.1,2,1,104.0,344.0,7596.231
Super built-up  Area,Jalahalli West,2,1355.0,2,3,75.0,344.0,5535.055
Built-up  Area,Bannerghatta Road,2,1150.0,2,2,65.0,344.0,5652.174
Super built-up  Area,Kanakapura,3,1938.0,3,3,113.0,516.0,5830.753
Super built-up  Area,Begur Road,4,2462.0,4,3,124.0,688.0,5036.556
Super built-up  Area,Budigere,3,1636.0,3,2,85.0,516.0,5195.599
Super built-up  Area,Akshaya Nagar,3,1430.0,2,2,75.0,476.0,5244.755
Super built-up  Area,BEML Layout 5th stage,3,2000.0,3,2,85.0,516.0,4250.0
Carpet  Area,Electronic City Phase II,3,993.0,2,2,50.0,476.0,5035.247
Super built-up  Area,Kanakpura Road,3,1700.0,3,3,88.0,516.0,5176.471
Super built-up  Area,Yelahanka,2,1270.0,2,2,78.0,344.0,6141.732
Plot  Area,Anjanapura,3,1500.0,3,1,121.0,516.0,8066.667
Super built-up  Area,Marathahalli,3,1650.0,3,3,86.45,516.0,5239.394
Super built-up  Area,Panathur,2,1109.0,2,1,63.0,344.0,5680.794
Super built-up  Area,Pragathi Nagar,2,1280.0,2,1,49.75,344.0,3886.719
Built-up  Area,Sarjapur,4,2885.0,3,1,185.0,648.0,6412.478
Super built-up  Area,Kothanur,3,1462.0,3,3,71.0,516.0,4856.361
Super built-up  Area,Marathahalli,1,607.0,1,1,35.0,172.0,5766.063
Super built-up  Area,Kammasandra,2,930.0,2,0,25.0,344.0,2688.172
Plot  Area,Varthur,4,4500.0,5,2,300.0,728.0,6666.667
Super built-up  Area,Malleshwaram,3,2600.0,3,1,237.0,516.0,9115.385
Super built-up  Area,JP Nagar,4,3000.0,4,2,140.0,688.0,4666.667
Super built-up  Area,Electronic City Phase II,3,1418.0,3,2,52.47,516.0,3700.282
Built-up  Area,Ramesh Nagar,2,4200.0,1,2,160.0,304.0,3809.524
Built-up  Area,EPIP Zone,2,1125.0,2,1,65.0,344.0,5777.778
Super built-up  Area,CV Raman Nagar,3,1825.0,3,2,126.0,516.0,6904.11
Super built-up  Area,Whitefield,2,1320.0,2,3,79.5,344.0,6022.727
Built-up  Area,JP Nagar,4,3000.0,4,2,140.0,688.0,4666.667
Super built-up  Area,Whitefield,2,750.0,2,1,52.7,344.0,7026.667
Super built-up  Area,Yelahanka,3,1400.0,2,2,80.54,476.0,5752.857
Super built-up  Area,Sathya Sai Layout,4,4104.0,4,3,360.0,688.0,8771.93
Built-up  Area,Rajaji Nagar,4,5000.0,4,0,375.0,688.0,7500.0
Plot  Area,Mahadevpura,5,3295.0,4,2,260.0,820.0,7890.744
Plot  Area,A Narayanapura,4,1150.0,3,1,110.0,648.0,9565.217
Plot  Area,Whitefield,3,1200.0,3,1,61.96,516.0,5163.333
Built-up  Area,Poorna Pragna Layout,2,965.0,2,2,48.0,344.0,4974.093
Plot  Area,Gottigere,1,812.0,1,1,26.0,172.0,3201.97
Super built-up  Area,KR Puram,2,1100.0,2,2,43.0,344.0,3909.091
Super built-up  Area,Whitefield,2,1180.0,2,2,41.0,344.0,3474.576
Super built-up  Area,HSR Layout,2,1145.0,2,2,48.0,344.0,4192.14
Super built-up  Area,Haralur Road,2,1027.0,2,1,44.0,344.0,4284.323
Super built-up  Area,Silk Board,2,1215.0,2,2,49.85,344.0,4102.881
Plot  Area,Hegde Nagar,2,1200.0,2,0,75.0,344.0,6250.0
Super built-up  Area,Kenchenahalli,2,1015.0,2,2,58.0,344.0,5714.286
Plot  Area,Kaggalipura,3,2400.0,3,1,165.0,516.0,6875.0
Plot  Area,Whitefield,4,3000.0,4,3,306.0,688.0,10200.0
Built-up  Area,7th Phase JP Nagar,3,3300.0,4,3,160.0,556.0,4848.485
Super built-up  Area,Puttanahalli,2,1076.0,2,2,52.0,344.0,4832.714
Super built-up  Area,JP Nagar,2,1300.0,2,1,109.0,344.0,8384.615
Built-up  Area,Hebbal Kempapura,2,1300.0,2,2,102.0,344.0,7846.154
Super built-up  Area,Hosa Road,3,1512.0,3,1,123.0,516.0,8134.921
Carpet  Area,Bhoganhalli,3,1053.4,3,1,88.91,516.0,8440.289
Super built-up  Area,Yeshwanthpur,1,605.0,1,0,41.745,172.0,6900.0
Super built-up  Area,Hormavu,2,1153.0,2,1,65.0,344.0,5637.467
Plot  Area,Virat Nagar,2,2080.0,2,1,150.0,344.0,7211.538
Super built-up  Area,Hulimavu,2,1255.0,2,2,69.0,344.0,5498.008
Super built-up  Area,Marathahalli,3,1583.0,3,3,109.0,516.0,6885.66
Super built-up  Area,Kundalahalli Colony,2,1505.0,2,2,90.0,344.0,5980.066
Super built-up  Area,Kathriguppe,3,1365.0,2,2,75.08,476.0,5500.366
Plot  Area,Dwarka Nagar,3,1200.0,3,3,95.75,516.0,7979.167
Super built-up  Area,Amblipura,3,1810.0,4,3,148.0,556.0,8176.796
Built-up  Area,Magadi Road,1,440.0,1,0,35.0,172.0,7954.545
Super built-up  Area,Subramanyapura,2,975.0,2,1,63.0,344.0,6461.538
Super built-up  Area,Doddagubbi,2,1250.0,2,3,39.0,344.0,3120.0
Super built-up  Area,Gopalkrishna Nagar,3,1530.0,2,1,97.0,476.0,6339.869
Super built-up  Area,Kereguddadahalli,3,1300.0,2,2,39.0,476.0,3000.0
Super built-up  Area,Channasandra,2,1115.0,2,1,40.0,344.0,3587.444
Super built-up  Area,Sarjapur  Road,2,1308.0,2,1,83.0,344.0,6345.566
Super built-up  Area,Parappana Agrahara,2,1194.0,2,2,47.0,344.0,3936.348
Super built-up  Area,Uttarahalli,3,1490.0,2,2,59.6,476.0,4000.0
Super built-up  Area,Sarjapur  Road,3,1592.0,3,1,91.0,516.0,5716.08
Super built-up  Area,Rajaji Nagar,2,1222.0,2,0,112.0,344.0,9165.303
Super built-up  Area,Raja Rajeshwari Nagar,2,1267.0,2,2,42.85,344.0,3382.005
Super built-up  Area,Balagere,1,656.0,1,1,53.0,172.0,8079.268
Plot  Area,Chandapura,2,1200.0,1,1,36.0,304.0,3000.0
Super built-up  Area,Thanisandra,3,1698.0,3,2,102.0,516.0,6007.067
Built-up  Area,Tata Nagar,3,1500.0,3,2,70.0,516.0,4666.667
Plot  Area,Sunkadakatte,4,2000.0,5,0,80.0,728.0,4000.0
Super built-up  Area,Electronic City,2,1152.0,2,1,65.75,344.0,5707.465
Super built-up  Area,Raja Rajeshwari Nagar,1,550.0,1,0,21.0,172.0,3818.182
Super built-up  Area,Pattandur Agrahara,2,900.0,2,2,42.0,344.0,4666.667
Super built-up  Area,Rajarajeshwari nagar,3,1410.0,2,2,45.12,476.0,3200.0
Built-up  Area,Akshaya Nagar,3,1419.0,2,3,73.0,476.0,5144.468
Super built-up  Area,Amruthahalli,2,1200.0,2,1,55.0,344.0,4583.333
Super built-up  Area,AECS Layout,3,1800.0,3,3,65.0,516.0,3611.111
Super built-up  Area,Gottigere,2,990.0,2,1,40.0,344.0,4040.404
Super built-up  Area,Sarjapur  Road,2,1016.0,2,1,45.0,344.0,4429.134
Super built-up  Area,Bannerghatta Road,2,1100.0,2,0,39.0,344.0,3545.455
Built-up  Area,Ramamurthy Nagar,4,850.0,2,1,65.0,608.0,7647.059
Super built-up  Area,Whitefield,2,1095.0,2,1,35.0,344.0,3196.347
Super built-up  Area,Rajarajeshwarinagar,3,2000.0,3,2,85.0,516.0,4250.0
Super built-up  Area,Budigere,2,1444.0,2,2,70.0,344.0,4847.645
Super built-up  Area,Whitefield,2,1415.0,2,3,67.0,344.0,4734.982
Plot  Area,Jinkethimmanahalli,3,1500.0,2,1,130.0,476.0,8666.667
Super built-up  Area,Daadys Gaarden Layout,3,1600.0,3,3,72.0,516.0,4500.0
Super built-up  Area,Whitefield,2,1105.0,2,1,41.36,344.0,3742.986
Super built-up  Area,Electronic City,3,1225.0,3,0,45.03,516.0,3675.918
Super built-up  Area,Kanakpura Road,2,1080.0,2,1,37.8,344.0,3500.0
Super built-up  Area,Talaghattapura,3,1856.0,3,2,135.0,516.0,7273.707
Super built-up  Area,Haralur Road,3,1464.0,3,2,56.0,516.0,3825.137
Super built-up  Area,Sarjapur  Road,2,1150.0,2,2,77.0,344.0,6695.652
Plot  Area,Abbigere,5,1200.0,4,1,98.0,820.0,8166.667
Super built-up  Area,5th Phase JP Nagar,3,1485.0,2,2,67.0,476.0,4511.785
Super built-up  Area,Vimanapura,3,2500.0,3,3,75.0,516.0,3000.0
Plot  Area,Whitefield,2,1200.0,2,1,45.0,344.0,3750.0
Super built-up  Area,Hennur Road,2,1036.0,2,1,59.46,344.0,5739.382
Plot  Area,Whitefield,4,3445.0,5,3,270.0,728.0,7837.446
Super built-up  Area,Dodsworth Layout,2,1400.0,2,2,80.0,344.0,5714.286
Super built-up  Area,Bommanahalli,2,1110.0,2,2,33.0,344.0,2972.973
Built-up  Area,Kodichikkanahalli,2,1150.0,2,3,48.0,344.0,4173.913
Super built-up  Area,Kenchenahalli,1,715.0,1,1,45.0,172.0,6293.706
Super built-up  Area,Jakkur,4,2283.0,4,2,130.0,688.0,5694.262
Super built-up  Area,Hormavu,3,1453.0,2,2,43.58,476.0,2999.312
Built-up  Area,Nagarbhavi,3,1400.0,2,1,85.0,476.0,6071.429
Super built-up  Area,Padmanabhanagar,3,1400.0,3,0,65.0,516.0,4642.857
Super built-up  Area,Whitefield,3,1700.0,3,1,140.0,516.0,8235.294
Super built-up  Area,Kanakpura Road,3,1591.0,3,1,120.0,516.0,7542.426
Super built-up  Area,Nagarbhavi,3,1515.0,2,1,79.0,476.0,5214.521
Built-up  Area,Marathahalli,5,2500.0,3,3,200.0,780.0,8000.0
Super built-up  Area,Chandapura,2,975.0,2,1,24.86,344.0,2549.744
Super built-up  Area,Yeshwanthpur,3,1382.0,2,2,76.18,476.0,5512.301
Super built-up  Area,Sector 1 HSR Layout,3,1533.0,3,2,150.0,516.0,9784.736
Super built-up  Area,Amarjyothi Colony,2,1100.0,2,2,38.0,344.0,3454.545
Super built-up  Area,Banashankari Stage II,3,1500.0,2,1,120.0,476.0,8000.0
Super built-up  Area,Yelahanka,3,1391.0,2,2,64.5,476.0,4636.952
Super built-up  Area,Begur Road,2,1160.0,2,2,42.92,344.0,3700.0
Built-up  Area,Chandapura,1,620.0,1,1,27.0,172.0,4354.839
Built-up  Area,Whitefield,4,4827.0,4,3,400.0,688.0,8286.721
Super built-up  Area,Kanakpura Road,3,1482.0,3,3,60.98,516.0,4114.71
Super built-up  Area,Whitefield,2,1405.0,2,2,84.5,344.0,6014.235
Built-up  Area,Gunjur,2,1190.0,2,2,40.0,344.0,3361.345
Super built-up  Area,Harlur,2,1174.0,2,1,78.0,344.0,6643.952
Plot  Area,Seegehalli,2,1155.0,2,0,72.0,344.0,6233.766
Super built-up  Area,Thanisandra,3,1411.0,3,1,93.04,516.0,6593.905
